id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_kasus,satuan,tahun
139,32,JAWA BARAT,3204,KABUPATEN BANDUNG,4323,ORANG,2024
140,32,JAWA BARAT,3205,KABUPATEN GARUT,2479,ORANG,2024
141,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,741,ORANG,2024
142,32,JAWA BARAT,3207,KABUPATEN CIAMIS,567,ORANG,2024
143,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,551,ORANG,2024
144,32,JAWA BARAT,3209,KABUPATEN CIREBON,1632,ORANG,2024
145,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,946,ORANG,2024
146,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,1150,ORANG,2024
147,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,1121,ORANG,2024
148,32,JAWA BARAT,3213,KABUPATEN SUBANG,1816,ORANG,2024
149,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,1195,ORANG,2024
150,32,JAWA BARAT,3215,KABUPATEN KARAWANG,2722,ORANG,2024
151,32,JAWA BARAT,3216,KABUPATEN BEKASI,2457,ORANG,2024
152,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,1131,ORANG,2024
153,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,179,ORANG,2024
154,32,JAWA BARAT,3271,KOTA BOGOR,2145,ORANG,2024
155,32,JAWA BARAT,3272,KOTA SUKABUMI,652,ORANG,2024
156,32,JAWA BARAT,3273,KOTA BANDUNG,6434,ORANG,2024
157,32,JAWA BARAT,3274,KOTA CIREBON,1111,ORANG,2024
158,32,JAWA BARAT,3275,KOTA BEKASI,2762,ORANG,2024
159,32,JAWA BARAT,3276,KOTA DEPOK,1382,ORANG,2024
160,32,JAWA BARAT,3277,KOTA CIMAHI,1438,ORANG,2024
161,32,JAWA BARAT,3278,KOTA TASIKMALAYA,1696,ORANG,2024
162,32,JAWA BARAT,3279,KOTA BANJAR,513,ORANG,2024
