id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_kelamin,jumlah_kasus,satuan,tahun
240,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,PEREMPUAN,112,ORANG,2023
241,32,JAWA BARAT,3213,KABUPATEN SUBANG,LAKI-LAKI,255,ORANG,2023
242,32,JAWA BARAT,3213,KABUPATEN SUBANG,PEREMPUAN,159,ORANG,2023
243,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,LAKI-LAKI,220,ORANG,2023
244,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,PEREMPUAN,181,ORANG,2023
245,32,JAWA BARAT,3215,KABUPATEN KARAWANG,LAKI-LAKI,810,ORANG,2023
246,32,JAWA BARAT,3215,KABUPATEN KARAWANG,PEREMPUAN,525,ORANG,2023
247,32,JAWA BARAT,3216,KABUPATEN BEKASI,LAKI-LAKI,694,ORANG,2023
248,32,JAWA BARAT,3216,KABUPATEN BEKASI,PEREMPUAN,479,ORANG,2023
249,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,LAKI-LAKI,374,ORANG,2023
250,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,PEREMPUAN,350,ORANG,2023
251,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,LAKI-LAKI,71,ORANG,2023
252,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,PEREMPUAN,43,ORANG,2023
253,32,JAWA BARAT,3271,KOTA BOGOR,LAKI-LAKI,452,ORANG,2023
254,32,JAWA BARAT,3271,KOTA BOGOR,PEREMPUAN,364,ORANG,2023
255,32,JAWA BARAT,3272,KOTA SUKABUMI,LAKI-LAKI,158,ORANG,2023
256,32,JAWA BARAT,3272,KOTA SUKABUMI,PEREMPUAN,125,ORANG,2023
257,32,JAWA BARAT,3273,KOTA BANDUNG,LAKI-LAKI,672,ORANG,2023
258,32,JAWA BARAT,3273,KOTA BANDUNG,PEREMPUAN,652,ORANG,2023
259,32,JAWA BARAT,3274,KOTA CIREBON,LAKI-LAKI,306,ORANG,2023
260,32,JAWA BARAT,3274,KOTA CIREBON,PEREMPUAN,212,ORANG,2023
261,32,JAWA BARAT,3275,KOTA BEKASI,LAKI-LAKI,791,ORANG,2023
262,32,JAWA BARAT,3275,KOTA BEKASI,PEREMPUAN,484,ORANG,2023
263,32,JAWA BARAT,3276,KOTA DEPOK,LAKI-LAKI,744,ORANG,2023
264,32,JAWA BARAT,3276,KOTA DEPOK,PEREMPUAN,610,ORANG,2023
265,32,JAWA BARAT,3277,KOTA CIMAHI,LAKI-LAKI,230,ORANG,2023
266,32,JAWA BARAT,3277,KOTA CIMAHI,PEREMPUAN,244,ORANG,2023
267,32,JAWA BARAT,3278,KOTA TASIKMALAYA,LAKI-LAKI,392,ORANG,2023
268,32,JAWA BARAT,3278,KOTA TASIKMALAYA,PEREMPUAN,294,ORANG,2023
269,32,JAWA BARAT,3279,KOTA BANJAR,LAKI-LAKI,55,ORANG,2023
270,32,JAWA BARAT,3279,KOTA BANJAR,PEREMPUAN,39,ORANG,2023
