id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_kasus,satuan,tahun
229,32,JAWA BARAT,3213,KABUPATEN SUBANG,6321,ORANG,2024
230,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,4687,ORANG,2024
231,32,JAWA BARAT,3215,KABUPATEN KARAWANG,13474,ORANG,2024
232,32,JAWA BARAT,3216,KABUPATEN BEKASI,15458,ORANG,2024
233,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,4569,ORANG,2024
234,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,968,ORANG,2024
235,32,JAWA BARAT,3271,KOTA BOGOR,11418,ORANG,2024
236,32,JAWA BARAT,3272,KOTA SUKABUMI,3477,ORANG,2024
237,32,JAWA BARAT,3273,KOTA BANDUNG,18627,ORANG,2024
238,32,JAWA BARAT,3274,KOTA CIREBON,4122,ORANG,2024
239,32,JAWA BARAT,3275,KOTA BEKASI,13640,ORANG,2024
240,32,JAWA BARAT,3276,KOTA DEPOK,8422,ORANG,2024
241,32,JAWA BARAT,3277,KOTA CIMAHI,4513,ORANG,2024
242,32,JAWA BARAT,3278,KOTA TASIKMALAYA,4693,ORANG,2024
243,32,JAWA BARAT,3279,KOTA BANJAR,1519,ORANG,2024
