id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_kelamin,jumlah_kasus,satuan,tahun
218,32,JAWA BARAT,3201,KABUPATEN BOGOR,PEREMPUAN,12548,ORANG,2023
219,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,LAKI-LAKI,6077,ORANG,2023
220,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,PEREMPUAN,4873,ORANG,2023
221,32,JAWA BARAT,3203,KABUPATEN CIANJUR,LAKI-LAKI,4966,ORANG,2023
222,32,JAWA BARAT,3203,KABUPATEN CIANJUR,PEREMPUAN,4361,ORANG,2023
223,32,JAWA BARAT,3204,KABUPATEN BANDUNG,LAKI-LAKI,6740,ORANG,2023
224,32,JAWA BARAT,3204,KABUPATEN BANDUNG,PEREMPUAN,5957,ORANG,2023
225,32,JAWA BARAT,3205,KABUPATEN GARUT,LAKI-LAKI,4519,ORANG,2023
226,32,JAWA BARAT,3205,KABUPATEN GARUT,PEREMPUAN,4096,ORANG,2023
227,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,LAKI-LAKI,2084,ORANG,2023
228,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,PEREMPUAN,1444,ORANG,2023
229,32,JAWA BARAT,3207,KABUPATEN CIAMIS,LAKI-LAKI,1800,ORANG,2023
230,32,JAWA BARAT,3207,KABUPATEN CIAMIS,PEREMPUAN,1242,ORANG,2023
231,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,LAKI-LAKI,2115,ORANG,2023
232,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,PEREMPUAN,1590,ORANG,2023
233,32,JAWA BARAT,3209,KABUPATEN CIREBON,LAKI-LAKI,4809,ORANG,2023
234,32,JAWA BARAT,3209,KABUPATEN CIREBON,PEREMPUAN,3429,ORANG,2023
235,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,LAKI-LAKI,2449,ORANG,2023
236,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,PEREMPUAN,1869,ORANG,2023
237,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,LAKI-LAKI,1697,ORANG,2023
238,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,PEREMPUAN,1323,ORANG,2023
239,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,LAKI-LAKI,3121,ORANG,2023
240,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,PEREMPUAN,2027,ORANG,2023
241,32,JAWA BARAT,3213,KABUPATEN SUBANG,LAKI-LAKI,3208,ORANG,2023
242,32,JAWA BARAT,3213,KABUPATEN SUBANG,PEREMPUAN,2458,ORANG,2023
243,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,LAKI-LAKI,3121,ORANG,2023
244,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,PEREMPUAN,2486,ORANG,2023
245,32,JAWA BARAT,3215,KABUPATEN KARAWANG,LAKI-LAKI,7407,ORANG,2023
246,32,JAWA BARAT,3215,KABUPATEN KARAWANG,PEREMPUAN,5461,ORANG,2023
247,32,JAWA BARAT,3216,KABUPATEN BEKASI,LAKI-LAKI,7745,ORANG,2023
248,32,JAWA BARAT,3216,KABUPATEN BEKASI,PEREMPUAN,5770,ORANG,2023
249,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,LAKI-LAKI,2166,ORANG,2023
250,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,PEREMPUAN,2012,ORANG,2023
251,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,LAKI-LAKI,551,ORANG,2023
252,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,PEREMPUAN,403,ORANG,2023
253,32,JAWA BARAT,3271,KOTA BOGOR,LAKI-LAKI,5459,ORANG,2023
254,32,JAWA BARAT,3271,KOTA BOGOR,PEREMPUAN,4895,ORANG,2023
255,32,JAWA BARAT,3272,KOTA SUKABUMI,LAKI-LAKI,1796,ORANG,2023
